"FAMILIEFORDELT NETTOFORMUE I ALT";"2017";"0-17 år";15984;16553;15386
"FAMILIEFORDELT NETTOFORMUE I ALT";"2017";"18-29 år";126894;133470;120043
"FAMILIEFORDELT NETTOFORMUE I ALT";"2017";"30-39 år";471031;527769;413496
"FAMILIEFORDELT NETTOFORMUE I ALT";"2017";"40-49 år";1069835;1207758;931691
"FAMILIEFORDELT NETTOFORMUE I ALT";"2017";"50-59 år";1751435;2006013;1495213
"FAMILIEFORDELT NETTOFORMUE I ALT";"2017";"60-69 år";2450994;2877881;2038397
"FAMILIEFORDELT NETTOFORMUE I ALT";"2017";"70-79 år";2227074;2863414;1651452
"FAMILIEFORDELT NETTOFORMUE I ALT";"2017";"80 år og derover";1616782;2148948;1277559
